Machine,Processing_Time(s),Avg_Setup_Time(min),Avg_Defect_Rate
013 Engel,51.804,55.111,0.043
014 BMB,25.102,201.17,0.052
017 Negri Bossi,37.272,173.0,0.052
018 Engel,40.319,211.872,0.027
019 Negri Bossi,53.165,183.51,0.064
020 BMB,19.738,175.303,0.059
024 BMB,70.139,392.0,0.047
030 Negri Bossi,38.797,194.96,0.054
036 Toyo,22.442,166.286,0.054
069 BMB,28.928,169.578,0.047
070 BMB,37.161,200.412,0.056
071 BMB,36.31,212.368,0.041
072 Toyo,33.83,175.42,0.035
073 Toyo,18.029,136.25,0.031
074 Engel,48.047,185.24,0.063
101 Netstal,22.323,166.467,0.034
107 Toyo,16.702,129.5,0.028
112 BMB,18.413,140.368,0.047
119 Toyo,14.683,137.907,0.036
121 Toyo,9.752,115.157,0.026
122 Toyo,13.518,114.0,0.029
123 Engel,18.362,133.607,0.039
124 Toyo,10.108,94.227,0.022
125 Toyo,12.939,106.731,0.023
126 Toyo,15.196,92.493,0.035
127 Toyo,16.306,108.145,0.039
128 Toyo,9.731,129.667,0.035
129 Toyo,11.075,118.558,0.025
130 Toyo,14.621,103.875,0.019
131 Toyo,10.854,122.037,0.028
132 Toyo,13.943,111.121,0.024
133 Toyo,16.155,153.02,0.038
134 Toyo,9.595,129.927,0.031
135 Toyo,31.217,144.633,0.04
136 Toyo,12.548,127.732,0.055
137 Toyo,24.057,132.094,0.028
138 Toyo,22.274,162.645,0.035
139 Toyo,14.775,110.742,0.027
140 Toyo,11.853,108.936,0.032
141 Toshiba,10.864,99.712,0.043
142 Toshiba,5.981,184.0,0.002
143 Toyo,16.03,149.367,0.037
144 Toyo,10.183,95.343,0.04
145 Toyo,15.324,99.696,0.03
146 Toshiba,11.244,105.3,0.041
147 Toshiba,8.284,94.682,0.045
148 Toyo,11.979,97.524,0.026
207 Toyo,10.434,87.856,0.019
208 Toyo,9.45,95.587,0.02
209 Toyo,18.538,142.803,0.044
210 Toyo,17.689,127.565,0.054
211 Toyo,8.129,122.364,0.034
212 Toyo,24.479,149.576,0.043
213 Toyo,24.462,154.021,0.04
214 Toyo,24.586,153.226,0.046
215 Toyo,44.201,199.794,0.039
216 Toshiba,15.857,115.952,0.034
217 Toshiba,16.95,150.911,0.048
218 Toshiba,12.585,101.662,0.03
219 Demag,9.52,104.035,0.046
220 Demag,10.042,123.691,0.034
221 Toshiba,10.304,110.2,0.037
222 Toyo,10.685,114.231,0.023
223 Toyo,13.375,98.634,0.02
224 Toyo,13.537,105.63,0.035
225 Toshiba,12.685,116.397,0.039
226 Toyo,29.237,160.562,0.015
227 Toyo,32.01,182.873,0.06
228 Toyo,13.543,143.584,0.038
229 Toyo,13.559,114.393,0.022
230 Toyo,8.893,106.933,0.03
231 Toshiba,15.725,128.512,0.048
232 Toyo,12.76,117.452,0.032
233 Toyo,16.17,125.05,0.036
234 Toshiba,13.873,102.184,0.047
235 Toyo,18.781,117.25,0.023
236 Toyo,17.813,131.72,0.023
237 Toyo,17.042,133.025,0.029
238 Toyo,17.978,120.765,0.03
239 Toyo,17.326,129.727,0.022
240 Toyo,15.258,129.88,0.03
241 Toyo,15.582,117.925,0.032
242 Toyo,18.71,116.168,0.038
243 Toyo,17.094,124.18,0.047
244 Toyo,16.666,130.562,0.032
245 Toshiba,14.23,135.27,0.045
246 Toshiba,10.716,106.915,0.032
247 Toshiba,10.953,87.219,0.031
248 Toshiba,11.627,90.059,0.044
249 Toshiba,8.092,91.789,0.03
250 Toshiba,4.757,74.857,0.038
251 Toyo,10.953,109.333,0.044
252 Toyo,12.842,117.716,0.028
253 Toyo,17.639,123.703,0.037
254 Toyo,16.787,102.382,0.048
255 Toshiba,22.733,174.889,0.041
256 Toshiba,23.159,117.25,0.005
257 Toshiba,7.457,81.818,0.021
258 BMB,18.248,190.917,0.051
259 BMB,38.673,85.889,0.053
260 Engel,59.039,328.0,0.251
261 Toshiba,15.133,127.072,0.043
262 Toshiba,10.828,107.079,0.03
264 Toshiba,32.224,154.641,0.038
265 Toshiba,10.406,116.491,0.039
266 BMB,39.353,53.651,0.049
267 BMB,42.182,24.184,0.031
268 Toyo,21.18,165.6,0.039
269 Toyo,24.567,185.047,0.055
270 Toshiba,24.622,124.873,0.029
271 Toshiba,18.892,154.691,0.041
272 Toshiba,3.943,157.636,0.015
273 Toshiba,17.727,147.367,0.038
275 Toshiba,9.275,196.909,0.011
277 Toshiba,16.39,113.326,0.027
278 Toshiba,13.276,112.656,0.027
279 Toshiba,15.295,124.563,0.037
280 Toshiba,15.158,140.235,0.041
281 Toshiba,16.963,111.056,0.04
282 Toshiba,15.962,129.276,0.038
283 Toshiba,16.239,127.875,0.044
284 Toshiba,17.958,139.099,0.054
285 Krauss,24.606,334.0,0.043
286 BMB,28.046,175.034,0.053
287 BMB,38.033,136.122,0.046
288 BMB,35.614,145.658,0.04
289 TOYO,32.903,187.4,0.042
290 TEDERIC,63.087,243.667,0.085
291 NISSEI,5.887,145.852,0.103
292 MIPET-2P,3.338,80.389,0.073
293 Toyo,15.894,149.789,0.031
294 Toyo,23.314,203.84,0.061
295 Toyo,33.396,218.5,0.029
296 JSW,27.341,217.75,0.038
297 JSW,18.087,212.9,0.022
298 Engel,34.827,165.0,0.04
299 Toyo,30.242,141.429,0.028
